"","longitude","latitude","Elev_moy","superficie","dist_ville","dist_cote","Eaux maritimes","Forêts","Milieux à végétation arbustive et/ou herbacée","Mines, décharges et chantiers","Prairies","Terres arables","Zones agricoles hétérogènes","Zones humides intérieures","Zones humides maritimes","Zones industrielles ou commerciales et réseaux de communication","Zones urbanisées","Anomalie_temp_hiver_NW","Anomalie_temp_printemps_NW","Anomalie_temp_hiver_NE","Anomalie_temp_printemps_NE","Mean_NAO_winter","Moy_precip_printemps_NE_Annee_n.1","Moy_precip_printemps_NW_Annee_n.1","E"
"2458",-3.12204211027562,47.5854684423602,0.2,2.54,13.77,0.65,0,0,0,0,0,0,0,0,1,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1157
"2464",-3.33669389609506,47.7033786932392,0,0.67,5.4,0.45,0,0,0,0,0,0,0,0,1,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1157
"2470",-3.30511226021346,47.7626703182819,0.5,5.09,2.95,0.21,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1157
"2478",-3.37515023395337,47.7269972110678,0.5,0.98,2.4,0.04,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1157
"2708",2.06796781397683,51.0057841769725,4,0,4.66,0.24,0,0,1,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,755
"2717",2.73861903288316,50.1940737146663,95.8,0.11,11.13,76.13,0,0,0,0,0,0,0,0,0,1,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,717
"2718",1.84631067002964,50.4442977950956,6,0.04,15.68,18.82,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,705
"2720",2.28866134232177,50.769820353612,2.5,0.04,3.21,29.06,0,0,0,0,0,0,0,1,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,715
"2725",1.82453351108265,50.5637841125481,43.2,0.07,14.3,15.28,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,708
"2726",1.62767565411069,50.4474127213877,4.1,0.01,6.17,4.05,0,0,0,0,0,0,0,1,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,705
"2731",2.59070324796361,50.5870697253449,24.4,0.02,7.33,53.5,0,0,0,0,0,0,1,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,750
"2733",2.38858241167766,50.7616132874118,13.1,0.13,9.6,32.12,0,0,0,0,0,1,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,715
"2737",3.02942502826702,50.3191847369435,40.4,0.14,6.49,92.15,0,0,0,1,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,761
"2739",2.50905809323631,50.5654833456451,20.5,0.05,2.4,54.64,0,0,0,0,1,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,750
"2801",0.423161885094479,43.287858673605,273.3,1.69,28.68,156.46,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,581
"2812",3.02401745398671,42.6706524900088,-0.7,8.9,3.9,0.82,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,721
"2813",2.90245330545019,42.6332183545266,18.1,1.9,6.05,10.76,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,744
"2817",7.91718692847767,48.688008847566,122.2,0.2,9.87,395.97,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,604
"2818",7.8044567806113,48.5609835982813,136,0.75,4.76,401.69,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,604
"2819",7.72511306339057,48.3952526234031,148.1,0.99,15,412.88,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,691
"2820",7.6992504915328,48.3084328533333,159,3.26,18.98,438.91,0,1,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,691
"2821",8.10475920065726,48.8272188748403,116.2,3.22,19.16,393.55,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,707
"2822",8.04637681507973,48.7912434245882,117.8,4.54,13.95,393.59,0,1,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,707
"2823",7.86759903710677,48.6534239638469,129.7,4.64,9,396.58,0,1,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,604
"2824",7.63915051773243,48.2001223296547,168.1,1.27,15.24,427.99,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,691
"2825",8.17270085559093,48.9290640266166,109.7,3.67,20.54,388.83,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,707
"2826",7.73289867098015,48.4423513987733,139.5,6.55,9.86,408.99,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,691
"2827",7.60667901610622,48.4658799442278,145.7,0.18,9.25,401.39,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,691
"2828",7.7218863096523,48.5542306691922,135.6,0.53,1.56,398.55,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,604
"2830",7.82771589831623,48.698819161306,125.3,0.56,8.07,390.82,0,0,0,1,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,604
"2860",7.54488739588326,47.6364558855207,239.8,0.78,5.74,368.66,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2861",7.51362915246362,47.6810291217892,228.6,0.7,11.16,374.06,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2862",7.52992658107393,47.7573231264767,224.4,0.54,10.08,381.94,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2863",7.55498678069453,47.8832453812924,205.3,1.38,18.31,395.04,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2864",7.61286879500508,47.9733260884192,192.6,0.51,22.28,403.78,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2865",7.56997592704891,48.0255447258728,184.6,0.51,16.84,410.16,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,691
"2866",7.51893690488818,47.6696516927969,229,0.79,9.83,372.73,0,0,0,0,0,0,1,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2867",7.5354349751366,47.7618273299405,213.3,0.1,10.57,382.32,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2868",7.55719908927761,47.8806858521458,200.9,0.17,18.33,394.73,0,1,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2869",7.62130299539694,47.9704303956104,196.1,1.98,22.98,403.33,0,1,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1071
"2930",4.9807086417886,45.7846741701395,179.1,1.45,1.83,257.08,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,845
"2931",4.9521913925176,45.8045695137101,170.4,2.59,2.11,258.59,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,845
"2973",5.24953658920425,46.9304329519619,178.1,0.23,25.78,385.43,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,796
"2974",4.92898154579926,46.5374768468679,169.8,0.74,2.99,337.37,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,732
"2977",4.0185385843754,46.2752734945214,242.8,0.06,20.93,301.65,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,860
"2979",4.96105931621808,46.511347848974,172.3,0.1,6.74,335.03,0,0,0,0,1,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,732
"3192",5.87838640942072,45.6721485141214,230.3,43.94,3.37,243.69,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,926
"3193",5.87596516045142,45.7448114331209,230.3,43.94,6.93,251.07,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,926
"3194",5.83107673780314,45.7972801961794,230.3,43.94,8.96,257.84,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,926
"3195",5.8578145473863,45.7381599243809,230.3,43.94,7.06,251,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,926
"3198",6.15347545640595,45.8858660430886,447.1,26.39,2.42,253.4,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1122
"3199",6.48209058903853,46.395610279309,370,578.22,2.52,279.18,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1016
"3208",0.186847684503941,49.4511373301066,0,12.23,4.88,0.94,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,743
"3210",0.319227063341351,49.4813709990458,1.9,2.19,9.24,3.36,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,743
"3211",0.235035057184211,49.469572469293,1.5,3.49,5.54,1.53,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,743
"3212",0.181034878413211,49.4779011802735,1.6,0.45,5.58,0.58,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,743
"3213",0.270212214008297,49.4346242754054,0.4,1.79,3.11,0.66,1,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,743
"3221",0.846188361361318,49.4055185309777,0.6,0.43,14.61,27.42,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,735
"3223",1.01648508153956,49.3980370643662,-1.5,0.16,2.68,39.55,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,701
"3280",2.99094181012542,48.3721039019193,48.9,0.63,2.98,221.09,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,597
"3323",-0.192186634158314,46.7653805230738,114.4,1.55,13.7,85.73,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,789
"3339",2.71325304202016,49.9195115968066,32.1,0.03,10.19,80.52,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,677
"3349",1.53360075504226,49.9960160726159,18.2,0.4,24.74,13.14,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,763
"3357",1.70665304094293,50.3384960442355,3.2,0.06,12.17,7.73,0,0,0,0,0,0,0,1,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,705
"3358",1.56920487875027,50.2564233085293,0.2,0.07,16.56,0.63,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,705
"3359",1.48189950946884,50.1562887811204,1.8,0.19,25.77,0.39,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,800
"3360",1.58387045650236,50.1912287042221,2.4,2.44,20.21,0.93,0,0,0,0,0,0,0,0,1,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,705
"3361",1.59416817826109,50.3501610416692,3.1,0.36,6.34,1.89,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,705
"3362",1.47160306102942,50.1318189889133,0.6,0.15,26.05,0.56,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,800
"3386",1.48065503824784,50.1621145000623,1.8,0.03,26,0.11,0,0,0,0,0,0,0,0,1,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,800
"3477",-1.78524045509309,46.5518360844891,0.4,1.27,5.9,3.56,0,0,0,0,0,0,0,0,1,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,940
"3479",-1.20443259061763,46.2779667812301,0,16.08,13.82,0.14,0,0,0,0,0,0,0,0,1,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,902
"3538",-1.28611900465629,46.2896676556666,2.3,0.71,17.82,0.36,0,1,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,902
"3907",3.16052715261948,48.3333419487061,57.5,0.03,16.23,231.51,0,0,0,0,0,1,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,600
"3909",3.62783923439984,47.547601266921,131.1,0,12.75,316.27,0,0,0,0,0,0,1,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,667
"3911",3.29203245164321,48.1564389887264,64.8,0.04,4.66,253.24,0,0,0,1,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,600
"3927",3.29425307334672,48.1344520565109,66.1,0.22,7.1,254.83,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,600
"3929",3.57501832951373,47.7997723565529,97.7,0.03,0.52,294.49,0,0,0,0,0,0,0,0,0,0,1,0.94,0.66,0.64,0.08,0.5225,4522,5643,667
"3983",6.22546302290144,45.5671499183278,291.2,0.19,17.74,222.34,0,0,0,0,0,0,0,0,0,0,0,0.94,0.66,0.64,0.08,0.5225,4522,5643,1122
"2",5.76418082715148,45.7679671805222,231.3,0.59,6.12,257.17,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,976
"5",5.83018677096647,45.9402284652863,252.9,0.27,11.91,272.34,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,976
"14",5.01668316036306,46.0019145888128,274.4,0.06,20.44,281.06,0,0,0,0,1,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"15",5.02518689249296,45.9888390459177,274.8,0.87,19.21,279.84,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,869
"16",5.0308524414651,45.9916475110769,276.9,0.06,19.64,280.26,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,869
"17",4.91748208441538,45.9457981675992,293.3,0.22,13.66,273.06,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,879
"23",5.20543912162227,45.9922375224984,300.6,0.57,12.52,283.14,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,869
"46",5.12944802937711,45.927283475333,285.7,0.12,17.92,275.43,0,0,0,0,0,1,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,869
"53",4.96871226191287,45.965452315349,282.5,0.41,15.82,276.18,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,879
"56",4.93681391372589,45.9958988574631,286.5,0.34,16.32,278.83,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,879
"58",4.96072906218268,45.9976853291255,282.8,0.28,18.18,279.48,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,879
"61",5.03248718134054,45.9374782790067,284.4,0.16,14.09,274.51,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,869
"71",5.13926765214697,46.0260233458918,282.5,0.4,18.64,286.43,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"72",5.14730746885712,46.0298205106344,282.7,0.24,18.25,286.9,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"106",5.05238982443402,46.1699799477248,236.8,0.24,13.89,299.81,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"116",5.92116924669908,46.1319227748819,333.1,1.22,7.83,285.22,0,0,0,0,0,0,0,1,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1111
"133",5.07689807216372,46.1755105111248,235.1,0.25,11.9,300.9,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"146",5.09717264210402,46.086972896896,270.4,0.27,16.43,291.86,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"184",5.05489220993425,45.9313583842148,279.6,0.26,14.37,274.35,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,869
"208",5.20610830480687,46.1314870331616,249.9,0.17,8.31,298.55,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"227",5.79527596015999,45.8302677641794,233.1,0.1,11.48,262.34,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,976
"228",5.70067062460297,45.6775701504295,215,0.08,9.31,250.54,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,976
"230",5.64774930324048,45.6374460394095,212.7,0.27,11.36,248.67,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,976
"244",5.17960505386057,46.2253724612458,221.8,0.08,4.17,308.42,0,0,0,0,1,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"280",5.14473800058609,46.0218090962928,284.7,0.18,18.07,286,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"286",5.01048032756919,46.016681297433,278.3,0.14,21.93,282.52,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,825
"371",6.0191291592807,44.0928957077315,429.7,1.11,12.96,94.88,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1166
"372",5.95270031118066,44.186720351435,462.7,0.11,1.26,105.09,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1067
"374",6.02526472980971,44.4284269422484,574.4,0.6,15.43,123.65,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1166
"390",6.38627527814309,44.5335832231619,761.2,27.25,24.37,113.77,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1266
"392",6.24181125457368,44.4652428114464,658.3,1.12,16.58,114.88,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1166
"403",4.80595923215613,45.1199618869753,122.6,0.67,6.2,182.49,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,989
"404",4.86080238774543,45.0570069641728,114.7,2.29,2.49,177.36,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,989
"405",4.87699480897215,44.9267720441038,106.5,0.78,0.81,163.41,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1105
"406",4.76030141358504,44.7462035000401,85.6,0.61,12.86,142.32,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1105
"407",4.72446106818209,44.5917622267242,70.4,0.12,4.28,125.41,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1105
"409",4.73390212351396,44.3421584192971,55,2.66,4.91,98.74,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1100
"457",4.31477361395721,48.2816176207397,130.5,20.77,16.13,286.24,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,650
"464",4.38654042935032,48.3132908161564,130.6,17.41,21.9,287.18,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,650
"465",4.50900908013015,48.3392129827933,131.5,4.62,18.77,291.32,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,733
"486",3.04485689753,43.1000103970234,-0.7,1.1,9.87,0.46,1,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,623
"488",2.96724213007613,43.0771352791831,0,37.1,12.22,4.74,1,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,643
"490",3.08057215935682,43.1123471520664,0.3,1.61,10.08,2.34,1,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,623
"510",5.22848970215126,43.450939729183,0,0.27,1.85,11.4,0,0,0,0,0,0,0,0,1,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,891
"512",5.0203885416927,43.5550191218004,0,131.79,3.4,14.82,1,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1051
"514",5.19359009926775,43.4253774454835,-0.8,6.01,1.98,10.19,1,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,891
"520",5.32931059936147,43.4647820341927,157.3,0.59,6.32,11.49,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,891
"523",4.98812080229529,43.4701005208288,-7.6,0.85,4.87,5.05,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,781
"527",4.79089072091468,43.5912459547094,9.6,1.08,5.5,15.96,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,929
"541",-0.04435624062336,49.1138494321188,6.3,0.06,19.64,18.84,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1023
"543",0.198285202118444,49.2745725207796,10.3,0.56,1.63,11.4,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1012
"547",-0.146815306140129,49.1840078834778,2.1,0.33,11.91,10.64,0,0,0,0,1,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1023
"768",-1.05686219575321,46.044337381444,0.5,0.08,14.06,0.4,1,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1111
"770",-1.21718276740685,45.9152860565872,0,0.54,19.96,0.5,0,0,0,0,0,0,0,0,1,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1067
"775",-1.20849747101515,45.6862338558149,0.3,6.71,15.6,1.07,0,0,0,0,0,0,0,0,1,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1067
"776",-0.853086453143136,45.5088585844027,1.2,17.81,18.8,0.08,0,0,0,0,0,0,0,0,1,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1025
"781",-0.976598512977526,45.9191063194024,0.3,0.09,2.27,5.66,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1025
"785",-0.996234784643681,46.0156452371906,0,0.3,9.18,4.55,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,998
"818",2.38050502986257,47.590196311307,161.5,1.24,21.98,252.13,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,601
"904",5.48882077246058,47.3700441362011,190.6,0.06,11.45,411.33,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,713
"913",5.36946029514665,47.5196199777791,220.8,0.28,18.68,401.93,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,821
"922",-2.68793130449703,48.5073399995866,0.4,10.5,5.4,0.47,0,0,0,0,0,0,0,0,1,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1700
"926",-3.0923835796927,48.8685834379092,1.1,0.2,30.9,0.08,0,0,0,0,0,0,0,0,1,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1515
"934",-3.24124819221882,48.758506833427,2.3,1.32,16.26,5.69,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1515
"938",-3.20916142341418,48.8400398203937,0.4,1.33,21.92,0.14,0,0,0,0,0,0,0,0,1,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1515
"1007",0.804457403701659,44.8580427046593,43,0.25,25.06,104.87,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,780
"1035",6.29074568102962,47.3279425422262,261.3,0.21,22.5,374.32,0,0,0,0,1,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,971
"1041",6.30173882766268,46.8017386849665,848.6,4.26,12.07,324.33,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1243
"1042",6.26368839719783,46.7717133085095,846.4,0.97,16.26,323.13,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1243
"1045",6.58299991333686,47.4536647734237,289.2,0.04,17.37,375.83,0,0,0,0,0,0,0,0,0,0,1,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1017
"1068",6.02572408674638,47.2302111115876,238.9,0.07,0.87,375.71,0,0,0,0,0,0,0,0,0,0,1,1.4,0.4,-1.31,1.8,-0.065,4962,6931,971
"1077",6.51090755770184,47.4029246667782,279.4,0.14,24.7,373.38,0,0,0,0,1,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1017
"1078",6.75802602486932,47.3384509307903,363.1,0.15,14.83,358.45,0,0,0,0,1,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1017
"1087",6.70817596125127,47.4685280594978,305.3,0.59,8.19,373.1,0,0,0,0,0,0,0,1,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,1017
"1098",4.99241858584749,45.0325388360092,134,0.05,4.71,175.48,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,989
"1100",5.05631497387522,45.0411237622667,140.7,0.24,0.6,176.81,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,944
"1101",5.10081768542469,45.0389427747057,149.9,0.1,3.86,176.92,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,944
"1102",5.16158591722104,45.0651785235709,152.9,0.07,8.83,180.4,0,0,0,0,0,0,1,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,944
